'malavita',22,11,20,,,,
'camilleclaudel',72,62,517,,,,
'kontiki',25,7,719,,,,
'12añosdeesclavitud',2,0,0,,,,
'casagrande',210,117,2317,,,,
'memoriademisputastristes',2,5,0,,,,
'buscandoanemo',42,47,53,,,,
'slowwest',16,15,186,,,,
'entourageelsequito',1,0,0,,,,
'cincuentasombrasdegrey',13,55,36,,,,
'sextapealgopasaenlanube',2,0,0,,,,
'poveda',1,0,0,,,,
'matalossuavemente',1,0,0,,,,
'mistressamerica',3,1,2,,,,
'highrise',621,775,4997,,,,
'kungfupanda3',70,43,313,,,,
'mataralmensajero',77,31,6160,,,,
'capitanamericaelsoldadodeinvierno',34,8,6,,,,
'bigbadwolves',1,0,1,,,,
'embarazados',5,5,0,,,,
'bienvenidosagrecia',76,46,298,,,,
'noseaceptandevoluciones',13,3,6,,,,
'timbuktu',146,97,944,,,,
'belle',2013,2374,81367,,,,
'nohay2sin3',44,13,44,,,,
'insensibles',16,11,0,,,,
'fuerzamayor',15,16,79,,,,
'dredd',352,558,6211,,,,
'lucesrojas',26,1,650,,,,
'amazingspiderman2',28,11,9570,,,,
'startrekenlaoscuridad',2,0,0,,,,
'canibal',76,66,291,,,,
'venganzaconexionestambul',3,0,0,,,,
'maluniunpasoatras',13,25,156,,,,
'riddick',31,56,20,,,,
'tuyyo',956,1866,133161,,,,
'origenes',91,116,184,,,,
'bestiasdelsursalvaje',1,1,0,,,,
'zoolanderno2',3,0,0,,,,
'springbreakers',40,21,86,,,,
'bonsai',163,136,2002,,,,
'requisitosparaserunapersonanormal',3,3,4,,,,
'tothewonder',11,28,6,,,,
'todosestanmuertos',1,0,1,,,,
'negociador',4,0,17,,,,
'perderlarazon',1,3,0,,,,
'dandolanota',6,4,0,,,,
'malditosvecinos2',1,0,0,,,,
'gloria',1706,2026,18117,,,,
'sidecidoquedarme',5,2,2,,,,
'todoirabien',17,20,20,,,,
'cosmopolis',45,87,495,,,,
'sexofacilpeliculastristes',1,0,0,,,,
'esperandoalrey',1,0,0,,,,
'acambiodenada',3,0,0,,,,
